id,sku,picture no.,images,name,width,attribute 1 name,attribute 1 value(s),attribute 1 visible,attribute 1 global,attribute 2 name,attribute 2 value(s),attribute 2 visible,attribute 2 global,categories
1,AB ,01,AB-15mm-scaled.jpg,Ladies Belt - AB ,15 MM,Color,Dark Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
29,JX FLOWER PRINT ,29,JX-38mm-scaled.jpg,Ladies Belt - JX FLOWER PRINT ,38 MM,Color,Navy,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
30,KJ,30,KJ-13mm-scaled.jpg,Ladies Belt - KJ,13 MM ,Color,Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
31,KP,31,KP-20mm-scaled.jpg,Ladies Belt - KP,20 MM ,Color,Teal,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
32,LINDA ,32,LINDA-35mm-scaled.jpg,Ladies Belt - LINDA ,35 MM ,Color,Beige,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
33,LIVA ,33,LIVA-25mm-scaled.jpg,Ladies Belt - LIVA ,25 MM ,Color,Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
34,MILLI ,34,"MILLE-PINK-25mm-scaled.jpg,MILLE-BLUE-25mm-scaled.jpg",Ladies Belt - MILLI ,25 MM ,Color,Blue/Pink,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
35,MILLI NEW RIVIT,35,MILLE-NEW-25mm-scaled.jpg,Ladies Belt - MILLI NEW RIVIT,25 MM,Color,Baby Pink,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
36,NADIA,36,"NADIA-BLK-30mm-scaled.jpeg,NADIA-BLU-30mm-scaled.jpeg,NADIA-RED-30mm-scaled.jpg,NADIA-GREY-30mm-scaled.jpeg",Ladies Belt - NADIA,30 MM,Color,Black/Blue/Grey/Red,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
37,NAGINA,37,NAGINA-50mm-scaled.jpg,Ladies Belt - NAGINA,50 MM ,Color,Light Gold,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
38,NEETI,38,NEETI-35mm-scaled.jpg,Ladies Belt - NEETI,35 MM ,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
39,OK,39,OK-18mm-scaled.jpg,Ladies Belt - OK,18 MM,Color,Black,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
40,SANDRA,40,SANDRA-40mm-scaled.jpg,Ladies Belt - SANDRA,40 MM ,Color,Tan,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
41,SV,41,SV-40mm-scaled.jpg,Ladies Belt - SV,40 MM ,Color,Red,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
42,TIE & DYE,42,TIE&DYE--A-35mm-scaled.jpg,Ladies Belt - TIE & DYE,35 MM,Color,Multi,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
43,TIE & DYE,43,TIE&DYE--B-38mm-scaled.jpg,Ladies Belt - TIE & DYE,38 MM,Color,Multi,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
44,YX,44,YX-20mm-scaled.jpg,Ladies Belt - YX,20 MM ,Color,Pink ,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
45,ZO,45,ZO-20mm-scaled.jpg,Ladies Belt - ZO,20 MM ,Color,Beige,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
46,PE,46,PE-48mm-scaled.jpg,Ladies Belt - PE,48 MM,Color,Brown,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
47,WX,47,WX-85mm-scaled.jpg,Ladies Belt - WX,85 MM,Color,Royal Blue,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
48,XO,48,XO-20mm-scaled.jpg,Ladies Belt - XO,20 MM,Color,White,1,1,Size,SMALL | MEDIUM | LARGE | EXTRA LARGE,1,1,Women> Ladies Belts
